Victor Wembanyama,Category,Amount of Games,Threshold,Count,Percentage,Decimal Odds,American Odds
 ,Points,5,1,5,100%,1.0,XX-XX
 ,Assists,5,1,4,80%,1.25,-401
 ,Rebounds,5,1,5,100%,1.0,XX-XX
 ,PAR,5,1,5,100%,1.0,XX-XX
 ,PR,5,1,5,100%,1.0,XX-XX
 ,PA,5,1,5,100%,1.0,XX-XX
 ,Points,10,1,10,100%,1.0,XX-XX
 ,Assists,10,1,8,80%,1.25,-401
 ,Rebounds,10,1,10,100%,1.0,XX-XX
 ,PAR,10,1,10,100%,1.0,XX-XX
 ,PR,10,1,10,100%,1.0,XX-XX
 ,PA,10,1,10,100%,1.0,XX-XX
 ,Points,25,1,15,60%,1.67,-150
 ,Assists,25,1,13,52%,1.92,-109
 ,Rebounds,25,1,15,60%,1.67,-150
 ,PAR,25,1,15,60%,1.67,-150
 ,PR,25,1,15,60%,1.67,-150
 ,PA,25,1,15,60%,1.67,-150
